1335,長内,3000
1336,曽我部,2998
1337,萩野,2996
1338,直井,2995
1339,高久,2991
1340,平岩,2990
1341,広岡,2984
1342,深澤,2979
1343,竹井,2979
1344,一ノ瀬,2971
1345,赤間,2969
1346,市橋,2965
1347,平木,2964
1348,平島,2963
1349,秋吉,2960
1350,塩原,2951
1351,脇坂,2946
1352,川尻,2945
1353,相澤,2938
1354,近江,2937
1355,深見,2934
1356,新藤,2933
1357,石上,2932
1358,水越,2930
1359,春田,2924
1360,安倍,2923
1361,副島,2918
1362,池野,2915
1363,大須賀,2909
1364,上地,2908
1365,大河内,2908
1366,神尾,2904
1367,東田,2904
1368,福嶋,2904
1369,崎山,2902
1370,藤澤,2902
1371,越川,2897
1372,星川,2893
1373,佐原,2890
1374,宗像,2885
1375,守田,2874
1376,仲宗根,2873
1377,園部,2870
1378,多賀,2870
1379,馬渕,2867
1380,末広,2867
1381,瀬戸口,2865
1382,藤枝,2862
1383,大本,2859
1384,杉谷,2857
1385,長嶺,2857
1386,坪内,2851
1387,石津,2850
1388,有本,2843
1389,川北,2841
1390,猿渡,2835
1391,吉松,2832
1392,竹川,2830
1393,照屋,2824
1394,高石,2820
1395,小塚,2820
1396,佐田,2817
1397,元木,2813
1398,姫野,2813
1399,北条,2813
1400,二階堂,2808
1401,中園,2801
1402,宮武,2799
1403,大岡,2798
1404,小田切,2797
1405,長江,2797
1406,菊川,2789
1407,米川,2788
1408,横内,2785
1409,田坂,2784
1410,宮尾,2782
1411,蛭田,2782
1412,有川,2777
1413,辰巳,2776
1414,田淵,2774
1415,赤尾,2771
1416,日置,2770
1417,堀尾,2770
1418,新居,2768
1419,大堀,2768
1420,友田,2765
1421,鳥羽,2764
1422,横溝,2756
1423,赤石,2756
1424,井坂,2750
1425,西澤,2745
1426,梶川,2744
1427,小松崎,2744
1428,片平,2743
1429,吉良,2741
1430,吉成,2737
1431,広沢,2729
1432,須崎,2729
1433,堀部,2724
1434,真下,2719
1435,武石,2718
1436,船津,2715
1437,亀谷,2714
1438,宮嶋,2714
1439,田井,2706
1440,柳澤,2703
1441,大門,2699
1442,高垣,2689
1443,舟橋,2689
1444,八重樫,2684
1445,沖野,2678
1446,若月,2670
1447,北口,2668
1448,橋田,2667
1449,小木曽,2666
1450,磯,2661
1451,今岡,2659
1452,江本,2658
1453,大脇,2658
